puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
27,hard,backtracking,2,,True,10.568,850,1070,49,0,0,0,solved
28,hard,backtracking,0,,True,41.317,3566,4267,49,0,0,0,solved
28,hard,backtracking,1,,True,41.898,3566,4267,49,0,0,0,solved
28,hard,backtracking,2,,True,40.761,3566,4267,49,0,0,0,solved
29,hard,backtracking,0,,True,4.444,304,351,49,0,0,0,solved
29,hard,backtracking,1,,True,3.943,304,351,49,0,0,0,solved
29,hard,backtracking,2,,True,3.73,304,351,49,0,0,0,solved
30,hard,backtracking,0,,True,28.901,2674,3461,49,0,0,0,solved
30,hard,backtracking,1,,True,24.707,2674,3461,49,0,0,0,solved
30,hard,backtracking,2,,True,24.554,2674,3461,49,0,0,0,solved
31,expert,backtracking,0,,True,2078.802,161631,209616,54,0,0,0,solved
31,expert,backtracking,1,,True,1849.221,161631,209616,54,0,0,0,solved
31,expert,backtracking,2,,True,1822.971,161631,209616,54,0,0,0,solved
32,expert,backtracking,0,,True,51.08,4495,5676,54,0,0,0,solved
32,expert,backtracking,1,,True,50.26,4495,5676,54,0,0,0,solved
32,expert,backtracking,2,,True,48.029,4495,5676,54,0,0,0,solved
33,expert,backtracking,0,,True,830.387,62786,80800,54,0,0,0,solved
33,expert,backtracking,1,,True,728.927,62786,80800,54,0,0,0,solved
33,expert,backtracking,2,,True,595.724,62786,80800,54,0,0,0,solved
34,expert,backtracking,0,,True,165.432,18352,23192,54,0,0,0,solved
34,expert,backtracking,1,,True,185.275,18352,23192,54,0,0,0,solved
34,expert,backtracking,2,,True,200.312,18352,23192,54,0,0,0,solved
35,expert,backtracking,0,,True,12.738,1175,1463,54,0,0,0,solved
35,expert,backtracking,1,,True,14.989,1175,1463,54,0,0,0,solved
35,expert,backtracking,2,,True,13.814,1175,1463,54,0,0,0,solved
36,expert,backtracking,0,,True,54.122,4026,4986,54,0,0,0,solved
36,expert,backtracking,1,,True,46.695,4026,4986,54,0,0,0,solved
